place_id,address_gu,address_dong,parking_available,parking_paid,reservation_available,toddler_friendly,preschool_friendly,lower_elementary_friendly,weekend_operation,price_level,discount_available,care_service_available,guardian_required,parking_difficulty,group_visit_available,program_role_play,program_media_play,safety_negative,food_allowed,program_active_play,program_creative_play,cleanliness_positive,spacious_positive,crowded_warning
db231001,도봉구,도봉동,yes,,,yes,yes,,,,,,,easy,yes,yes,,yes,,yes,,yes,yes,
db231201,도봉구,방학동,,,yes,yes,yes,,yes,low,yes,yes,yes,,yes,,,,,,,,,
db231202,도봉구,창동,yes,,yes,yes,yes,,yes,low,,yes,yes,limited,yes,yes,,,,yes,,,,
db241101,도봉구,창동,yes,yes,yes,yes,yes,,yes,low,yes,yes,yes,difficult,yes,yes,yes,yes,,yes,,yes,yes,
db241102,도봉구,도봉동,yes,no,yes,yes,yes,yes,yes,low,yes,yes,yes,easy,yes,,,,,,,,,
db241103,도봉구,쌍문동,yes,,yes,yes,yes,yes,yes,paid,yes,yes,yes,difficult,yes,,yes,,,yes,yes,,,
db250401,도봉구,방학동,yes,yes,yes,yes,yes,,yes,low,yes,yes,yes,limited,yes,,,yes,,,,yes,yes,
dj221102,동작구,상도동,yes,,yes,yes,yes,,yes,low,yes,,yes,limited,yes,yes,yes,yes,,yes,,yes,yes,
dj230701,동작구,대방동,yes,,yes,yes,yes,,yes,low,yes,,yes,difficult,yes,yes,yes,,,,yes,yes,yes,
dj230901,동작구,대방동,yes,yes,yes,,yes,yes,yes,low,yes,yes,yes,easy,yes,,,yes,,yes,yes,yes,yes,
dj240701,동작구,상도동,yes,,yes,yes,yes,,yes,low,yes,,yes,difficult,yes,yes,yes,yes,,yes,yes,yes,yes,yes
dj241004,동작구,상도동,yes,yes,yes,yes,yes,,yes,low,yes,,yes,difficult,yes,yes,,,,yes,yes,yes,yes,
dj241006,동작구,흑석동,yes,yes,yes,yes,yes,,,low,yes,yes,yes,difficult,yes,,,yes,,,,yes,,
